PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
55344,top,0.0,00:00.14,1/1,0,14+,1800K+,0B,0B,55343,55343,running,*0[1+],0.00000,0.00000,0,1681+,104+,139734+,69866+,1621+,72688+,320+,6+,0,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
55343,sh,0.0,00:00.01,1,0,10+,508K+,0B,0B,55343,48556,sleeping,*0[1+],0.00000,0.00000,501,883+,121+,31+,15+,201+,56+,47+,70+,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
55342,SystemEvents,0.0,00:00.21,5,3,157+,7932K+,0B,0B,55342,1,sleeping,*0[4+],0.00000,0.00000,501,10649+,325+,1022+,272+,4068+,1608+,1157+,65+,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
55283,mdworker,0.0,00:00.36,3,1,59+,4404K+,0B,0B,55283,1,sleeping,*0[1+],0.00000,0.00000,89,8144+,225+,1210+,386+,13040+,1526+,2081+,22+,1,0.0,_spotlight,N/A,N/A,N/A,N/A,N/A,N/A
55260,helpd,0.0,00:00.03,2,1,36+,1004K+,0B,0B,55260,1,sleeping,0[0],0.00000,0.00000,501,3617+,151+,135+,44+,488+,289+,146+,4+,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
55247,QuickLookSatelli,0.0,00:01.07,5,1,92+,15M+,148K+,0B,55247,1,sleeping,*5+[5+],0.00000,0.00000,501,16640+,763+,903+,315+,10292+,2059+,4499+,101+,47,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
55217,com.apple.WebKit,0.0,00:08.66,6,1,232+,144M+,64M+,0B,55217,1,sleeping,*0[1701+],0.00000,0.00000,501,93898+,2264+,31488+,19855+,116445+,94349+,49547+,42+,1130,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
55216,quicklookd,0.0,00:00.33,7,4,109+,6488K+,80K+,0B,55216,1,sleeping,*1+[9+],0.00000,0.00000,501,9855+,600+,842+,293+,25619+,1655+,1711+,446+,33,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
55207,com.apple.WebKit,0.0,00:13.72,7,2,233+,126M+,86M+,0B,55207,1,sleeping,*0[2040+],0.00000,0.00000,501,173778+,704+,30310+,14864+,124926+,91487+,42314+,38+,1452,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
55195,com.apple.WebKit,0.0,00:06.16,7,2,229+,83M+,37M+,0B,55195,1,sleeping,*0[1091+],0.00000,0.00000,501,125284+,704+,24207+,12463+,65311+,76663+,34234+,82+,3852,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
54460,com.apple.iCloud,0.0,00:00.25,2,1,56+,3444K+,0B,0B,54460,1,sleeping,*0[11+],0.00000,0.00000,501,6774+,204+,732+,218+,4372+,1195+,1617+,4+,108,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
53331-,dbfseventsd,0.0,00:00.93,1,0,8+,28K+,0B,168K+,39554,53330,sleeping,*0[1+],0.00000,0.00000,501,203+,28+,10+,5+,209359+,15+,44134+,0,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
53330-,dbfseventsd,0.0,00:01.51,1,0,8+,2584K+,0B,1732K+,39554,53329,sleeping,*0[1+],0.00000,0.00000,0,1368+,50+,12+,6+,299505+,18+,49714+,2+,0,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
53329-,dbfseventsd,0.0,00:00.28,1,0,10+,44K+,0B,244K+,39554,39554,sleeping,*0[1+],0.00000,0.00000,0,789+,148+,29+,14+,12405+,50+,8495+,15+,2186,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
53156,mdworker,0.0,00:07.44,3,1,58+,2088K+,0B,2240K+,53156,1,sleeping,*0[1+],0.00000,0.00000,89,22572+,225+,20211+,5968+,175831+,24592+,61672+,24+,79,0.0,_spotlight,N/A,N/A,N/A,N/A,N/A,N/A
52684,ocspd,0.0,00:00.36,2,1,35+,1116K+,0B,548K+,52684,1,sleeping,*0[1+],0.00000,0.00000,0,14669+,165+,8915+,129+,3738+,25245+,5644+,3+,35,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
52613,com.apple.spotli,0.0,00:00.04,2,1,49+,32K+,0B,2316K+,52613,1,sleeping,0[0],0.00000,0.00000,501,3683+,158+,178+,58+,7102+,392+,560+,49+,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
51401,ScriptEditor,0.0,00:04.59,11,7,305+,50M+,5664K+,24M+,51401,1,sleeping,*0[362+],0.00000,0.00000,501,117889+,814+,28271+,8059+,39596+,61102+,30462+,520+,816,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
51066,LINE,0.0,00:09.69,16,2,260+,77M+,26M+,70M+,51066,1,sleeping,*0[307+],0.00000,0.00000,501,93942+,1237+,22743+,11809+,138060+,349340+,130536+,9516+,2715,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50856,Python,0.0,00:18.33,2,0,17+,25M+,0B,3988K+,50845,50846,sleeping,*0[1+],0.00000,0.00000,501,22054+,366+,124+,49+,82870+,232+,42865+,5+,3767,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50846,plugin_host,0.0,03:28.90,9,1,44+,25M+,0B,28M+,50845,50845,sleeping,*0[1+],0.00000,0.00000,501,3342891+,669431+,9440+,4641+,57619267+,74785027+,2413284+,252+,281955,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50845,SublimeText,0.0,04:22.92,10,1,276+,57M+,13M+,23M+,50845,1,sleeping,*0[1310+],0.00000,0.00000,501,514127+,22445+,719291+,193328+,32134461+,240633195+,2529791+,350+,112308,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50789,mdworker,0.0,00:01.25,4,1,55+,15M+,0B,1848K+,50789,1,sleeping,*0[1+],0.00000,0.00000,501,46679+,194+,5907+,2289+,17135+,6118+,5518+,1807+,39,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50788,mdworker,0.0,00:01.54,5,2,58+,15M+,0B,1512K+,50788,1,sleeping,*0[1+],0.00000,0.00000,501,59795+,210+,6731+,2589+,24215+,7034+,7927+,459+,54,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50765,mdworker,0.0,00:01.51,4,1,54+,9624K+,0B,4716K+,50765,1,sleeping,*0[1+],0.00000,0.00000,501,42817+,194+,6383+,2461+,18702+,6701+,7253+,1050+,49,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50760,mdworker,0.0,00:01.11,4,1,54+,13M+,0B,3736K+,50760,1,sleeping,*0[1+],0.00000,0.00000,501,38999+,194+,5737+,2234+,16666+,5838+,4581+,356+,33,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50750,Python,0.0,00:00.48,1,0,13+,2028K+,0B,33M+,50750,50742,sleeping,*0[1+],0.00000,0.00000,501,13880+,595+,167+,79+,11088+,360+,1074+,11+,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50742,bash,0.0,00:00.01,1,0,16+,12K+,0B,804K+,50742,50741,sleeping,*0[1+],0.00000,0.00000,501,1994+,348+,87+,37+,1132+,156+,66+,0,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50741,login,0.0,00:00.02,2,1,28+,12K+,0B,1000K+,50741,48554,sleeping,*0[9+],0.00000,0.00000,0,2609+,181+,156+,47+,1660+,251+,227+,5+,2,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
50595,mdworker,0.0,00:12.14,3,1,58+,1920K+,0B,2468K+,50595,1,sleeping,*0[1+],0.00000,0.00000,89,38071+,225+,35006+,10404+,304958+,42852+,113579+,26+,131,0.0,_spotlight,N/A,N/A,N/A,N/A,N/A,N/A
50581,com.apple.audio.,0.0,00:00.01,2,2,21+,12K+,0B,896K+,50581,1,sleeping,*0[2+],0.00000,0.00000,501,3312+,141+,114+,36+,502+,228+,78+,0,2,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50580,IMRemoteURLConne,0.0,00:00.13,3,1,65+,688K+,0B,1936K+,50580,1,sleeping,*0[1+],0.00000,0.00000,501,5654+,187+,400+,771+,9341+,1424+,4083+,0,94,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50577,rtcreportingd,0.0,00:00.78,3,1,49+,1432K+,0B,3252K+,50577,1,sleeping,*0[1+],0.00000,0.00000,0,7534+,348+,7467+,1703+,10420+,6998+,7227+,50+,50,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
50575,avconferenced,0.0,19:10.22,2,1,161+,11M+,0B,8208K+,50575,1,sleeping,*0[1+],0.00000,0.00000,501,108459+,1863+,3364710+,1804762+,5384624+,3750946+,4526415+,1694+,200445,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50554,ath,0.0,00:00.26,6,1,53+,560K+,0B,1080K+,48440,48440,sleeping,*0[1+],0.00000,0.00000,501,2743+,114+,740+,42+,3453+,5150+,3780+,6+,1,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50340,com.apple.WebKit,0.0,00:17.87,6,1,230+,21M+,11M+,116M+,50340,1,sleeping,*0[10503+],0.00000,0.00000,501,122316+,729+,92173+,49905+,275104+,279270+,150724+,424+,7454,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50339-,scManagerD,0.0,01:47.72,3,2,75+,4856K+,0B,2220K+,50339,1,sleeping,*0[1+],0.00000,0.00000,0,12411+,317+,3348030+,420605+,5622884+,6293183+,3607616+,589+,7859,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
50324,com.apple.WebKit,0.0,00:03.12,6,1,230+,46M+,0B,42M+,50324,1,sleeping,*0[1289+],0.00000,0.00000,501,72734+,660+,12401+,4675+,51382+,42946+,29521+,13+,1013,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50323,com.apple.WebKit,0.0,00:07.38,6,1,232+,6252K+,0B,78M+,50323,1,sleeping,*0[2608+],0.00000,0.00000,501,75468+,717+,35039+,19162+,115753+,107251+,61193+,390+,2382,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48556,bash,0.0,00:00.63,1,0,16+,484K+,0B,348K+,48556,48555,sleeping,*0[1+],0.00000,0.00000,501,14932+,8021+,426+,207+,58517+,298+,4553+,36+,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48555,login,0.0,00:00.03,2,1,29+,12K+,0B,980K+,48555,48554,sleeping,*0[9+],0.00000,0.00000,0,2593+,182+,156+,47+,2052+,250+,291+,0,2,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
48554,Terminal,0.0,02:54.39,9,4,323+,73M+,208K+,18M+,48554,1,sleeping,*0[1830+],0.00000,0.00000,501,2866844+,4386+,547026+,140249+,1356690+,1616815+,1039772+,2564+,36157,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48539,BTTRelaunch,0.0,00:00.92,4,2,140+,1376K+,0B,2484K+,48539,1,sleeping,*0[283+],0.00000,0.00000,501,7481+,244+,6625+,872+,15100+,20159+,19146+,0,1146,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48538,BetterTouchTool,0.0,00:59.44,6,2,273+,12M+,0B,11M+,48538,1,sleeping,*0[2876+],0.00000,0.00000,501,213976+,898+,2374162+,1051532+,355366+,2016080+,958570+,485+,4557,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48446,AppleMobileDevic,0.0,00:00.69,3,1,48+,52K+,0B,8536K+,48440,48440,sleeping,*0[1+],0.00000,0.00000,501,15686+,165+,2014+,936+,6923+,2829+,5738+,122+,44,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48443,com.apple.MediaL,0.0,00:00.96,2,1,86+,3032K+,0B,8764K+,48443,1,sleeping,*0[48+],0.00000,0.00000,501,18386+,887+,2557+,1317+,30947+,6624+,9198+,1413+,190,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
